eno,borehole_name,longitude,latitude,top_depth_m,bottom_depth_m,ref_elev_m_ahd,unit,unit_pid,older_age,younger_age,older_age_ma,younger_age_ma,top_contact,base_contact,geological_province,stratigraphy_id,valid,invalid_reason
12024,Hay 1,144.84363114,-34.9078558,0.0,0.0,88.0,Brewarrina Granite,http://pid.geoscience.gov.au/geologicFeature/au/SU78458,,,,,,,Lachlan Orogen,558011,True,
12024,Hay 1,144.84363114,-34.9078558,343.81,344.12,88.0,Booroorban Granite,http://pid.geoscience.gov.au/geologicFeature/au/SU84306,,,,,,,Lachlan Orogen,558794,True,
12391,Jerilderie 1,145.9625595,-35.2812852,0.0,108.2,112.2,,,Cenozoic,Holocene,,,,,,496778,True,
12391,Jerilderie 1,145.9625595,-35.2812852,108.2,362.1,112.2,Renmark Group,http://pid.geoscience.gov.au/geologicFeature/au/SU16036,Eocene,,,,,,,496779,True,
12391,Jerilderie 1,145.9625595,-35.2812852,362.1,431.3,112.2,,,Permian,,,,,,,496780,True,
12391,Jerilderie 1,145.9625595,-35.2812852,431.3,1318.9,112.2,,,,,,,,,,496781,True,
12391,Jerilderie 1,145.9625595,-35.2812852,1318.9,1329.0,112.2,,,Ordovician,,,,,,,496782,True,
12391,Jerilderie 1,145.9625595,-35.2812852,5.2,9.5,112.2,Shepparton Formation,http://pid.geoscience.gov.au/geologicFeature/au/SU25474,Cenozoic,,,,,,,496783,True,
12391,Jerilderie 1,145.9625595,-35.2812852,39.9,108.2,112.2,Calivil Formation,http://pid.geoscience.gov.au/geologicFeature/au/SU3322,Cenozoic,,,,,,,496784,True,
12391,Jerilderie 1,145.9625595,-35.2812852,108.2,146.3,112.2,Olney Formation,http://pid.geoscience.gov.au/geologicFeature/au/SU14553,Cenozoic,,,,,,,496785,True,
12391,Jerilderie 1,145.9625595,-35.2812852,146.3,362.1,112.2,,,Lower Triassic,,,,,,,496786,True,
12391,Jerilderie 1,145.9625595,-35.2812852,362.1,461.8,112.2,Coorabin Coal Measures,http://pid.geoscience.gov.au/geologicFeature/au/SU4633,,,,,,,,496787,True,
12391,Jerilderie 1,145.9625595,-35.2812852,431.3,630.9,112.2,Cape Jervis Formation,http://pid.geoscience.gov.au/geologicFeature/au/SU3506,,,,,,,,496788,True,
12391,Jerilderie 1,145.9625595,-35.2812852,630.9,999.7,112.2,,,,,,,,,,496789,True,
12391,Jerilderie 1,145.9625595,-35.2812852,999.7,1328.9,112.2,,,Paleozoic,,,,,,,496790,True,
12599,Killendoo 1,145.07044419,-34.68211276,4.3,356.6,4.4,Renmark Group,http://pid.geoscience.gov.au/geologicFeature/au/SU16036,Cenozoic,,,,,,,501590,True,
12599,Killendoo 1,145.07044419,-34.68211276,356.6,755.3,4.4,,,Devonian,Permian,,,,,,501591,True,
12599,Killendoo 1,145.07044419,-34.68211276,0.0,134.1,4.4,,,Cenozoic,,,,,,,501592,True,
12599,Killendoo 1,145.07044419,-34.68211276,134.1,356.6,4.4,,,Cenozoic,,,,,,,501593,True,
12599,Killendoo 1,145.07044419,-34.68211276,356.6,755.3,4.4,,,Cenozoic,,,,,,,501594,True,
514416,PB-ARD-07,146.83906042,-34.42881855,0.0,0.0,228.7,Ardlethan Granite,http://pid.geoscience.gov.au/geologicFeature/au/SU554,,,,,,,Lachlan Orogen,251802,True,
514416,PB-ARD-07,146.83906042,-34.42881855,0.0,0.0,228.7,Ardlethan Granite,http://pid.geoscience.gov.au/geologicFeature/au/SU554,,,,,,,,363152,True,
600287,Cuddell B19,146.564707,-34.890622,73.15,103.63,149.0,Gillenbah Granite,http://pid.geoscience.gov.au/geologicFeature/au/SU79855,,,,,,,Central NSW - Omeo Province,490176,True,
